 ,Label,Area,Perim.,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,,11,10.000,0,1.000,10.000,1239.417,503.167,0,0,0.000,0.000,NaN,10.000
2,,11,10.083,0,1.000,10.083,1239.500,509.667,0,0,0.000,0.000,NaN,10.083
3,,11,9.833,0,1.000,9.833,1249.583,507.667,0,0,0.000,0.000,NaN,9.833
4,,11,10.083,0,1.000,10.083,1259.417,513.333,0,0,0.000,0.000,NaN,10.083
5,,11,10.250,0,1.000,10.250,1259.417,505.750,0,0,0.000,0.000,NaN,10.250
6,,11,10.000,0,1.000,10.000,1269.583,521.250,0,0,0.000,0.000,NaN,10.000
7,,11,10.083,0,1.000,10.083,1229.500,526.250,0,0,0.000,0.000,NaN,10.083
8,,11,9.917,0,1.000,9.917,1219.500,518.167,0,0,0.000,0.000,NaN,9.917
9,,11,9.917,0,1.000,9.917,1259.667,484.833,0,0,0.000,0.000,NaN,9.917
10,,11,9.917,0,1.000,9.917,1269.500,499.000,0,0,0.000,0.000,NaN,9.917
11,Mean,11,10.008,0,1.000,10.008,1249.508,508.908,0,0,0.000,0.000,NaN,10.008
12,SD,0,0.121,0,0.000,0.121,17.013,11.931,0,0,0.000,0.000,NaN,0.121
13,Min,11,9.833,0,1.000,9.833,1219.500,484.833,0,0,0.000,0.000,1.798E308,9.833
14,Max,11,10.250,0,1.000,10.250,1269.583,526.250,0,0,0.000,0.000,-1.798E308,10.250
